NO,KATEGORI,NAMA ALAT,BRAND,KODE ALAT,TAHUN,SPESIFIKASI,KONDISI,KETERANGAN,SUMBER FILE
  ▌ ACCESS POINT,,,,,,,,,
127,Komponen Robot,ATMF 3284 P-1642/CH340g,,,,Jumlah: 3,Baik,,Komponen_Robot_1_.xlsx
128,Komponen Robot,50cm USB cable,,,,Jumlah: 8,Baik,,Komponen_Robot_1_.xlsx
129,Komponen Robot,830 Breadboard,,,,Jumlah: 1,Baik,,Komponen_Robot_1_.xlsx
130,Komponen Robot,DHT 11 Module,,,,Jumlah: 12,Rusak sebagian,Rusak 1,Komponen_Robot_1_.xlsx
131,Komponen Robot,Water Sensor,,,,Jumlah: 16,Baik,,Komponen_Robot_1_.xlsx
132,Komponen Robot,4x4 Matrix Module,,,,Jumlah: 7,Baik,,Komponen_Robot_1_.xlsx
133,Komponen Robot,Stepper Motor+ULN2003DB,,,,Jumlah: 1,Rusak sebagian,Rusak 1,Komponen_Robot_1_.xlsx
134,Komponen Robot,1602 LCD Module,,,,Jumlah: 2,Baik,,Komponen_Robot_1_.xlsx
135,Komponen Robot,RGB Module,,,,Jumlah: 5,Rusak sebagian,Rusak 1,Komponen_Robot_1_.xlsx
136,Komponen Robot,9g Servo,,,,Jumlah: 11,Baik,,Komponen_Robot_1_.xlsx
137,Komponen Robot,DS 1302 Module,,,,Jumlah: 18,Baik,,Komponen_Robot_1_.xlsx
138,Komponen Robot,Remote Control,,,,Jumlah: 3,Baik,,Komponen_Robot_1_.xlsx
139,Komponen Robot,Ky-037 Module,,,,Jumlah: 14,Baik,,Komponen_Robot_1_.xlsx
140,Komponen Robot,RC 522 RFID Module,,,,Jumlah: 2,Baik,,Komponen_Robot_1_.xlsx
141,Komponen Robot,30 Jumper Wire,,,,Jumlah: 6,Baik,,Komponen_Robot_1_.xlsx
142,Komponen Robot,Male to Female Jumper Wireless,,,,Jumlah: 6,Baik,,Komponen_Robot_1_.xlsx
143,Komponen Robot,4 digit 7 segmen display,,,,Jumlah: 3,Baik,,Komponen_Robot_1_.xlsx
144,Komponen Robot,1 Digit 7 segment Display,,,,Jumlah: 5,Baik,,Komponen_Robot_1_.xlsx
145,Komponen Robot,IR Receiver Module,,,,Jumlah: 17,Baik,,Komponen_Robot_1_.xlsx
146,Komponen Robot,Photoresistor 5528,,,,Jumlah: 6,Baik,,Komponen_Robot_1_.xlsx
147,Komponen Robot,Buzzer,,,,Jumlah: 1,Baik,,Komponen_Robot_1_.xlsx
148,Komponen Robot,Sensor Ultrasonik,,,,Jumlah: 13,Baik,,Komponen_Robot_1_.xlsx
149,Komponen Robot,Joystick Module,,,,Jumlah: 12,Baik,,Komponen_Robot_1_.xlsx
150,Komponen Robot,Potensiometer 10K,,,,Jumlah: 5,Baik,,Komponen_Robot_1_.xlsx
151,Komponen Robot,Button,,,,Jumlah: 3,Baik,,Komponen_Robot_1_.xlsx
152,Komponen Robot,Button Cap,,,,Jumlah: 2,Baik,,Komponen_Robot_1_.xlsx
153,Komponen Robot,LM 35,,,,Jumlah: 11,Baik,,Komponen_Robot_1_.xlsx
154,Komponen Robot,LC 74HC595,,,,Jumlah: 11,Baik,,Komponen_Robot_1_.xlsx
155,Komponen Robot,Tilt Switch,,,,Jumlah: 11,Baik,,Komponen_Robot_1_.xlsx
156,Komponen Robot,Led Mini,,,,Jumlah: 4,Baik,,Komponen_Robot_1_.xlsx
157,Komponen Robot,Relay Module,,,,Jumlah: 11,Baik,,Komponen_Robot_1_.xlsx
158,Komponen Robot,Resistor,,,,Jumlah: 3,Baik,,Komponen_Robot_1_.xlsx
159,Komponen Robot,PIR Sensor,,,,Jumlah: 11,Baik,,Komponen_Robot_1_.xlsx
160,Komponen Robot,5V Relay,,,,Jumlah: 10,Baik,,Komponen_Robot_1_.xlsx
161,Komponen Robot,8x8 Matrix Module,,,,Jumlah: 15,Baik,,Komponen_Robot_1_.xlsx
162,Komponen Robot,9v Battery Connector,,,,Jumlah: 17,Rusak sebagian,Rusak 1,Komponen_Robot_1_.xlsx
163,Komponen Robot,2.54 mm pin single,,,,Jumlah: 12,Baik,,Komponen_Robot_1_.xlsx
164,Komponen Robot,Resister Card,,,,Jumlah: 11,Baik,,Komponen_Robot_1_.xlsx
165,Komponen Robot,Arduino Uno,,,,Jumlah: 2,Baik,,Komponen_Robot_1_.xlsx
166,Komponen Robot,Node MCU,,,,Jumlah: 13,Baik,,Komponen_Robot_1_.xlsx
167,Komponen Robot,Active Buzzer,,,,Jumlah: 1,Baik,,Komponen_Robot_1_.xlsx
168,Komponen Robot,Pasif Buzzer,,,,Jumlah: 1,Baik,,Komponen_Robot_1_.xlsx
169,Komponen Robot,Green led x5,,,,Jumlah: 1,Baik,,Komponen_Robot_1_.xlsx
  ▌ MONITOR / LCD,,,,,,,,,
170,Monitor / LCD,LCD Monitor,DAC,K/D-01.25,2025,"LCD 19""",Baik,,Data_Lab_SB_II__2026.xlsx
171,Monitor / LCD,LCD Monitor,DAC,K/D-02.25,2025,"LCD 19""",Baik,,Data_Lab_SB_II__2026.xlsx
172,Monitor / LCD,LCD Monitor,DAC,K/D-03.25,2025,"LCD 19""",Baik,,Data_Lab_SB_II__2026.xlsx
173,Monitor / LCD,LCD Monitor,DAC,K/D-04.25,2025,"LCD 19""",Baik,,Data_Lab_SB_II__2026.xlsx
174,Monitor / LCD,LCD Monitor,DAC,K/D-05.25,2025,"LCD 19""",Baik,,Data_Lab_SB_II__2026.xlsx
175,Monitor / LCD,LCD Monitor,DAC,K/D-06.25,2025,"LCD 19""",Baik,,Data_Lab_SB_II__2026.xlsx
176,Monitor / LCD,LCD Monitor,DAC,K/D-07.25,2025,"LCD 19""",Baik,,Data_Lab_SB_II__2026.xlsx
177,Monitor / LCD,LCD Monitor,DAC,K/D-08.25,2025,"LCD 19""",Baik,,Data_Lab_SB_II__2026.xlsx
178,Monitor / LCD,LCD Monitor,DAC,K/D-09.25,2025,"LCD 19""",Baik,,Data_Lab_SB_II__2026.xlsx
179,Monitor / LCD,LCD Monitor,DAC,K/D-10.25,2025,"LCD 19""",Baik,,Data_Lab_SB_II__2026.xlsx
180,Monitor / LCD,LCD Monitor,DAC,K/D-11.25,2025,"LCD 19""",Baik,,Data_Lab_SB_II__2026.xlsx
181,Monitor / LCD,LCD Monitor,DAC,K/D-12.25,2025,"LCD 19""",Adapter Monitor Rusak,,Data_Lab_SB_II__2026.xlsx
182,Monitor / LCD,LCD Monitor,DAC,K/D-13.25,2025,"LCD 19""",Baik,,Data_Lab_SB_II__2026.xlsx
183,Monitor / LCD,LCD Monitor,DAC,K/D-14.25,2025,"LCD 19""",Baik,,Data_Lab_SB_II__2026.xlsx
184,Monitor / LCD,LCD Monitor,DAC,K/D-15.25,2025,"LCD 19""",Baik,,Data_Lab_SB_II__2026.xlsx
185,Monitor / LCD,LCD Monitor,DAC,K/D-16.25,2025,"LCD 19""",Baik,,Data_Lab_SB_II__2026.xlsx
186,Monitor / LCD,LCD Monitor,DAC,K/D-17.25,2025,"LCD 19""",Baik,,Data_Lab_SB_II__2026.xlsx
187,Monitor / LCD,LCD Monitor,DAC,K/D-18.25,2025,"LCD 19""",Baik,,Data_Lab_SB_II__2026.xlsx
188,Monitor / LCD,LCD Monitor,DAC,K/D-19.25,2025,"LCD 19""",Baik,,Data_Lab_SB_II__2026.xlsx
189,Monitor / LCD,LCD Monitor,DAC,K/D-20.25,2025,"LCD 19""",Baik,,Data_Lab_SB_II__2026.xlsx
  ▌ POWER SUPPLY,,,,,,,,,
190,Power Supply,Power Supply,Lition,PS/TI-01.25,2025,,Baik,,Power_supply.xlsx
191,Power Supply,Power Supply,Lition,PS/TI-02.25,2025,,Baik,,Power_supply.xlsx
192,Power Supply,Power Supply,Samsung,PS/TI-03.25,2025,,Baik,,Power_supply.xlsx
193,Power Supply,Power Supply,Samsung,PS/TI-04.25,2025,,Baik,,Power_supply.xlsx
194,Power Supply,Power Supply,Samsung,PS/TI-05.25,2025,,Baik,,Power_supply.xlsx
195,Power Supply,Power Supply,Samsung,PS/TI-06.25,2025,,Baik,,Power_supply.xlsx
196,Power Supply,Power Supply,Samsung,PS/TI-07.25,2025,,Baik,,Power_supply.xlsx
197,Power Supply,Power Supply,,PS/TI-08.25,2025,,Baik,,Power_supply.xlsx
198,Power Supply,Power Supply,,PS/TI-09.25,2025,,Baik,,Power_supply.xlsx
199,Power Supply,Power Supply,,PS/TI-10.25,2025,,Baik,,Power_supply.xlsx
  ▌ PROYEKTOR & AC,,,,,,,,,
200,Proyektor & AC,Proyektor,EPSON,,,,Baik,Ruang SB II/6,Data_Lab_SB_II__2026.xlsx
201,Proyektor & AC,AC,DAIKIN,,,,Baik,Ruang SB II/6,Data_Lab_SB_II__2026.xlsx
202,Proyektor & AC,AC,DAIKIN,,,,Baik,Ruang SB II/6,Data_Lab_SB_II__2026.xlsx
203,Proyektor & AC,AC,Panasonic,,2025,,Baik,Ruang SB II/6,Data_Lab_SB_II__2026.xlsx
  ▌ RASPBERRY PI,,,,,,,,,
204,Raspberry Pi,Raspberry Pi 01,,RBI/TI-01.24,2024,Adapter: RBR/PU-01.24 | HDMI: CHD/TI-01.24 | Kabel: PR/TI.01.24,Baik,Lengkap,Data_Raspberry_Perlengkapannya_4_.xlsx
205,Raspberry Pi,Raspberry Pi 02,,RBI/TI-02.24,2024,Adapter: RBR/PU-02.24 | HDMI: CHD/TI-02.24 | Kabel: PR/TI.02.24,Baik,Lengkap,Data_Raspberry_Perlengkapannya_4_.xlsx
206,Raspberry Pi,Raspberry Pi 03,,RBI/TI-03.24,2024,Adapter: RBR/PU-03.24 | HDMI: CHD/TI-03.24 | Kabel: PR/TI.03.24,Baik,Lengkap,Data_Raspberry_Perlengkapannya_4_.xlsx
